持	 ug#用#序49152
罰ゲーム	yglm#类5#序29607
瓜二	ygme#类4#序13927
致死量	ygof#类4#序13626
瓜田	ygqt#类4#序13903
ヨゴレザメ	ygrm#类5#序29608
ユーグレナ	ygrn#类5#序29609
ヨーグルト	ygrt#类5#序29610
曲がり角	ygrx#类5#序23520
ユーゴスラビア	ygsa#类5#序29611
ユーゴスラヴィア	ygsa#类5#序29611
ユーゴスラビア王国	ygsr#类5#序29613
ユーゴスラビア社会主義連邦共和国	ygsr#类5#序29613
ユーゴスラビア連邦共和国	ygsr#类5#序29613
軟着陸	ygtg#类4#序13499
農地改革	ygvt#类4#序14029
やぎ座	ygxj#类5#序23521
小児科	ygxj#类4#序15117
転売ヤー	ygyl#类5#序29614
小児麻痺	ygza#类4#序15076
乳	yha#类3#序25903
罹病	yhaf#类4#序13671
連判状	yham#类4#序13475
鶏卵	yhbl#类4#序15775
乳業	yhcg#类4#序15880
上首尾	yhcv#类4#序13745
小規模	yhel#类4#序15332
乳児	yhgo#类4#序15886
鶏ガラ	yhgr#类5#序29615
致死	yhgv#类4#序13992
愛弟子	yhhi#类4#序15483
乳首	yhho#类4#序15869
四半分	yhhp#类4#序13469
孚	yhi#类3#序25905
鶏舎	yhjg#类4#序15765
乳化	yhjv#类4#序15868
少子化	yhjv#类4#序15507
乳母	yhkm#类4#序15865
乳液	yhkz#类4#序15884
乳歯	yhlc#类4#序15885
車前草	yhlo#类4#序13500
乳房	yhml#类4#序15861
醗	yhmp#类3#序21143
ヨハネスブルグ	yhng#类5#序29616
ヨハネス	yhns#类5#序29617
ヨハネの黙示録	yhnz#类5#序29618
罹災	yhoc#类4#序13670
小半時	yhog#类4#序14048
乳臭	yhom#类4#序15874
致	yhp#类3#序25273
乳類	yhpm#类4#序15881
乳糖	yhpx#类4#序15879
乳飲	yhqe#类4#序15867
小道具	yhqh#类4#序14053
乳牛	yhqn#类4#序15877
乳剤	yhqp#类4#序15862
やはり	yhri#类2#序15653
郛	yht#类3#序25910
乳呑	yhtm#类4#序15875
酸性雨	yhtv#类4#序13375
罹	yhu#类3#序23408
ヤハウェ	yhue#类5#序29619
乳腺	yhvu#类4#序15891
四分五裂	yhwg#类4#序13448
鶏冠	yhwm#类4#序15778
鶏	yhxn#类3#序25842
醗酵	yhyq#类4#序13579
乳酪	yhys#类4#序15876
乳離	yhzb#类4#序15863
乳鉢	yhze#类4#序15878
上半期	yhzh#类4#序13748
四半期	yhzh#类4#序13501
上半身	yhzs#类4#序13742
鶏頭	yhzw#类4#序15786
小心翼翼	yhzz#类4#序14607
至	yi#类3#序25277
轢殺	yibe#类4#序13411
轡虫	yicc#类4#序15794
連結器	yidd#类4#序13413
羂	yidv#类3#序23344
至極	yier#类4#序13976
至福	yiff#类4#序13983
小綺麗	yifv#类4#序13903
至高	yigg#类4#序13969
乳幼児	yigo#类4#序15418
羅列	yigp#类4#序13417
轢死	yigv#类4#序13416
至情	yiha#类4#序13987
至心	yihx#类4#序13986
轡	yiid#类3#序18919
至純	yiif#类4#序13973
連絡船	yiio#类4#序13409
至便	yijf#类4#序13974
谿流	yikb#类4#序15416
羅漢	yikl#类4#序13415
至芸	yilb#类4#序13997
至難	yild#类4#序13996
連立方程式	yilp#类4#序13465
上級生	yils#类4#序13692
奚	yim#类3#序25702
連立内閣	yima#类4#序13487
谿	yimh#类3#序25701
鷄	yimx#类3#序25700
ヤイピラ	yipr#类5#序29620
買い物	yiqn#类5#序23522
農産物	yiqn#类4#序13586
上級者	yiqo#类4#序13701
至誠	yisn#类4#序13972
至言	yisy#类4#序13967
占い師	yitk#类5#序23523
至近	yitu#类4#序13979
轢	yiue#类3#序23343
小細工	yiug#类4#序13911
羅	yiui#类3#序23341
買い手	yius#类5#序23524
邏	yiuu#类3#序23342
酳	yivy#类3#序21142
至宝	yiwn#类4#序13984
買い得	yiwo#类5#序23525
至急	yixb#类4#序13982
至当	yiyb#类4#序13988
至上	yiyf#类4#序13990
小綬鶏	yiyh#类4#序13910
酸化アルミニウム	yjam#类5#序29621
ヤジブカ	yjbk#类5#序29622
ユーザーボックス	yjbs#类5#序29623
輪唱	yjdo#类4#序13441
輪舞	yjel#类4#序13434
軫	yjes#类3#序23362
輪禍	yjff#类4#序13437
連体形	yjfl#类4#序13449
輪郭	yjgh#类4#序13423
輪ゴム	yjgm#类5#序29624
輸送	yjhm#类4#序13428
ユーザインタフェース	yjis#类5#序29625
ユーザーインターフェース	yjis#类5#序29625
致命傷	yjje#类4#序12149
連休修飾語	yjjs#类4#序13424
輸入	yjju#类4#序13429
輪作	yjjw#类4#序13426
軽佻浮薄	yjkl#类4#序13444
酸化カルシウム	yjkm#类5#序29626
小人カイマン	yjkn#类5#序29627
輪	yjl#类3#序23361
ユーザー名	yjld#类5#序29628
軟体動物	yjlq#类4#序13430
輪生	yjls#类4#序13433
ユジノサハリンスク	yjnk#类5#序29629
ユーズネット	yjnt#类5#序29630
小人数	yjpb#类4#序13943
輸入超過	yjpf#类4#序13542
農作物	yjqn#类4#序13493
配偶者	yjqo#类4#序13016
輪回	yjrd#类4#序13440
輪廻	yjrd#类4#序13439
ユズリハ	yjrh#类5#序29631
やじるしキー	yjrk#类5#序29632
輪切	yjrp#类4#序13453
連休詞	yjsa#类4#序13420
輪読	yjsg#类4#序13422
小休止	yjsi#类4#序13955
連休止	yjsi#类4#序13445
輸出	yjsm#类4#序13450
輸血	yjta#类4#序13432
受信トレイ	yjti#类5#序29633
輪番	yjtp#类4#序13431
劣化ウラン弾	yjub#类5#序29634
致命的	yjun#类4#序12163
輸	yjvp#类3#序23359
四舎五入	yjwj#类4#序13446
輸入割り当て制	yjwq#类5#序23526
輪廓	yjxg#类4#序13419
小作農	yjyf#类4#序13947
軽便鉄道	yjzh#类4#序13435
軽合金	yjzj#类4#序13436
よくあるご質問	ykaa#类5#序23527
よくある質問	ykaa#类5#序23527
酸素	ykai#类4#序13656
受け皿	ykam#类5#序23528
酸漿	ykav#类4#序13620
点滅ビーコン	ykbn#类5#序29636
酎	ykc#类3#序21191
罷業	ykcg#类4#序14124
酸味	ykda#类4#序13633
ヤク中	ykdg#类5#序29637
小学校	ykea#类4#序14946
酸欠	ykeq#类4#序13595
軽挙妄動	ykfl#类4#序13804
置き場	ykgo#类5#序23529
酸	ykh#类3#序21201
軌条	ykhe#类4#序13456
四通八達	ykhg#类4#序14116
受け子	ykhi#类5#序23530
酎ハイ	ykhi#类5#序29638
酸性	ykhl#类4#序13615
上水道	ykho#类4#序13975
軌道	ykho#类4#序13455
ユキヒョウ	ykhu#类5#序29639
よこ糸	ykis#类5#序23531
軌	ykj#类3#序23364
軽労働	ykjl#类4#序13805
酸化	ykjv#类4#序13522
酔態	ykkv#类4#序13683
やけ酒	ykky#类5#序23532
小学生	ykls#类4#序14939
亂	ykma#类3#序25896
ヤキモチ	ykmc#类5#序29640
やくマン	ykmn#类5#序29641
辭	ykmn#类3#序25895
酔狂	ykmn#类4#序13596
ユーコン狼	yknm#类5#序29642
酔	ykns#类3#序21145
酸鼻	ykoq#类4#序13561
置き時計	ykos#类5#序23533
軌跡	ykpz#类4#序13460
酔眼	ykqi#类4#序13651
車海老	ykql#类4#序13813
ユークリッド空間	ykra#类5#序29643
受け箱	ykre#类5#序23534
ヤクルトレディ	ykri#类5#序29644
上から目線	ykri#类5#序23535
ユークリッド幾何	ykrj#类5#序29645
ユークリッド幾何学	ykrk#类5#序29646
ヤクルト	ykrt#类5#序29647
軌範	ykry#类4#序13457
ユークリッド距離	ykrz#类5#序29648
ヨークシャー・テリア	yksa#类5#序29649
ヨークシャー人	yksj#类5#序29650
よこすじジャッカル	yksr#类5#序29651
ヨコスジジャッカル	yksr#类5#序29651
ヤクーツク	yktk#类5#序29652
曲学阿世	yktl#类4#序13864
ヨコテン	yktn#类5#序29653
ユカタン州	ykto#类5#序29654
羆	ykvc#类3#序23538
罷	ykvv#类3#序23537
四ヶ月	ykvy#类5#序29655
置き字	ykwh#类5#序23536
罷免	ykwp#类4#序14122
乳母車	ykyc#类4#序15415
ヨキヨキ	ykyk#类5#序29656
置き配	ykyv#类5#序23537
連戦連勝	ykyv#类4#序13811
受け身	ykzs#类5#序23538
四重奏	ylai#类4#序13547
ヤーバー	ylbl#类5#序29657
酩	yldk#类3#序21157
四重唱	yldo#类4#序13530
ヨーデル	yldr#类5#序29658
四苦八苦	ylhl#类4#序14161
ヨーゼフ	yljf#类5#序29660
ユーザー	yljl#类5#序29661
ユーコン	ylkn#类5#序29662
ゆっくり	ylkr#类2#序15652
ユーカリ	ylkr#类5#序29663
受動態	ylkv#类4#序15536
ヨーク家	ylkw#类5#序29664
酔生夢死	yllg#类4#序13182
ユーモア	ylma#类5#序29665
ユーノー	ylnl#类5#序29666
よっ友	ylnr#类5#序23539
ヤーヌス	ylns#类5#序29667
醋	ylo#类3#序21205
羃	ylor#类3#序23547
醺	ylph#类3#序21148
ヤップ州	ylpo#类5#序29668
やっぱり	ylpr#类2#序15651
ユッピテル	ylpr#类5#序29669
小荷物	ylqn#类4#序15540
ユーリア	ylra#类5#序29670
ユーレカ	ylrk#类5#序29671
ユーロ圏	ylrr#类5#序29673
ヤーさん	ylsn#类5#序29674
受動的	ylun#类4#序15512
酔っ払い運転	yluy#类5#序23540
四方山	ylvs#类4#序13396
豊葦原	ylxu#类4#序14166
酩酊	ylya#类4#序13581
醋酸	ylyk#类4#序13580
ヨーヨー	ylyl#类5#序29675
尖	ym#类3#序24710
ヤマアラシ	ymas#类5#序29676
爬	ymb#类3#序21627
やまーびく	ymbk#类5#序29677
やみバイト	ymbt#类5#序29678
ヤマバト	ymbt#类5#序29678
やみ屋	ymcy#类5#序23541
ヤメ検弁護士	ymeg#类5#序29679
ヤメ検	ymej#类5#序29680
やーまふつぃ	ymfi#类5#序29681
やーまふつ	ymft#类5#序29682
尖塔	ymgl#类4#序15488
ヤマグルマ	ymgm#类5#序29683
ヤマガラ	ymgr#类5#序29684
ヤマイモ	ymim#类5#序29685
尖端	ymiv#类4#序15433
罨法	ymkg#类4#序14094
車両通行止	ymks#类4#序13943
輌	yml#类3#序23469
輛	yml#类3#序23468
ヤママユガ	ymmg#类5#序29687
ヤママユ	ymmy#类5#序29688
ヤマンバ	ymnb#类5#序29689
ヤマネコ	ymnk#类5#序29690
ヤマナシ	ymns#类5#序29691
やまねこ座	ymnx#类5#序23542
罨	ymoa#类3#序23524
ヤムルカ	ymrk#类5#序29692
ヤマシマウマ	ymsm#类5#序29693
ヤムスクロ	ymsr#类5#序29694
ヤマタノオロチ	ymtc#类5#序29695
やーむとぅ	ymtu#类5#序29696
やまとぅゆー	ymty#类5#序29697
上二段活用	ymut#类4#序14154
軽犯罪	ymyr#类4#序13597
尖鋭	ymzh#类4#序15451
瓣	yn#类3#序19927
ヤンバルクイナ	ynbn#类5#序29698
ユニバーサル	ynbr#类5#序29699
蜀	ync#类3#序23402
醢	ynda#类3#序21194
ヤンデレ	yndr#类5#序29700
輔	ynf#类3#序23479
轗	ynfh#类3#序23528
ユニフォーム	ynfm#类5#序29701
罵声	yngc#类4#序14134
ヤングコーン	yngn#类5#序29702
ヤンゴン	yngn#类5#序29702
ヤング率	yngz#类5#序29703
ユニホーム	ynhm#类5#序29704
四十八手	ynhu#类4#序13967
酌	yni#类3#序21158
ユナイテッドネーションズ	ynij#类5#序29705
ユニゾン	ynjn#类5#序29706
輔佐	ynjn#类4#序13868
四十代	ynjp#类4#序13969
罵倒	ynjy#类4#序14114
ヤヌコーヴィチ	ynkc#类5#序29707
ユニコード	ynkd#类5#序29708
よんコママンガ	ynkg#类5#序29709
ヤンキー	ynkl#类5#序29710
よんコマ	ynkm#类5#序29711
ユニコーン	ynkn#类5#序29712
四十九日	ynko#类4#序13972
ヤンキー座り	ynkr#类5#序29713
ヤニカス	ynks#类5#序29714
ヨナキウグイス	ynks#类5#序29714
ユニーク	ynlk#类5#序29715
ゆのーん	ynln#类5#序29716
ユニックス	ynls#类5#序29717
ユニットバス	ynls#类5#序29717
ユニット	ynlt#类5#序29718
罵	ynm#类3#序23535
ヤンニョム	ynnm#类5#序29719
ゆのーんむに	ynnn#类5#序29720
酌量	ynof#类4#序13636
置	ynqf#类3#序23506
轉	ynqk#类3#序23474
置物	ynqn#类4#序13982
上ノ国	ynrn#类5#序29721
上ノ國	ynrp#类5#序29722
ユニセフ	ynsf#类5#序29723
ユニセックス	ynss#类5#序29724
置換	ynux#类4#序13994
蜀黍	ynxj#类4#序13587
罵詈	ynys#类4#序14127
四十雀	ynyu#类4#序14016
買	yo#类3#序23420
買春	yoai#类4#序13703
貞	yob#类3#序24840
貞女	yobn#类4#序13886
卓見	yoej#类4#序13944
買収	yoir#类4#序13698
卓絶	yoix#类4#序13920
買値	yojn#类4#序13693
買価	yojv#类4#序13692
貞淑	yoky#类4#序13890
醒	yol#类3#序21182
軽自動車	yoly#类4#序13520
卓	yon#类3#序24852
卓球	yonf#类4#序13951
酬	yooc#类3#序21137
占星術	yope#类4#序13932
卓越	yopn#类4#序13954
輜	yoqt#类3#序23365
貞節	yori#类4#序13888
卓説	yosh#类4#序13916
卓論	yosj#类4#序13914
卓出	yosm#类4#序13959
卓識	yosx#类4#序13915
ヤオトン	yotn#类5#序29725
醍	yots#类3#序21178
遉	youc#类3#序24841
貞操	youd#类4#序13889
卓抜	youn#类4#序13938
卓上	yoyf#类4#序13945
到	yp#类3#序25279
到来	ypah#类4#序13993
四辺形	ypfl#类4#序13461
到達	ypgg#类4#序13995
到着	ypgq#类4#序13975
少数派	ypkx#类4#序14577
小惑星	ypol#类4#序15565
ユプシロン	ypsn#类5#序29726
ユピテル	yptr#类5#序29727
ユーピテル	yptr#类5#序29727
軟式テニス	ypts#类5#序29728
小糠雨	yptv#类4#序14583
軾	ypug#类3#序23550
到底	ypxb#类4#序13968
小数点	ypyd#类4#序14581
到頭	ypzw#类4#序13994
曲	yq#类3#序23330
輒	yqae#类3#序23542
酵素	yqai#类4#序13657
曲尺	yqci#类4#序14144
上目遣	yqck#类4#序14094
乳製品	yqdd#类4#序15569
酷	yqdk#类3#序21149
酷熱	yqgh#类4#序13665
酵	yqhi#类3#序21192
曲線	yqiu#类4#序14119
酷使	yqjf#类4#序13531
酷似	yqjv#类4#序13528
酵母	yqkm#类4#序13517
曲芸	yqlb#类4#序14175
署名	yqld#类4#序13997
酷薄	yqlk#类4#序13693
乳飲み子	yqmh#类5#序23543
曲玉	yqni#类4#序14157
曲馬	yqnm#类4#序14168
曲直	yqnq#类4#序14164
酷暑	yqoq#类4#序13639
署	yqor#类3#序23489
署長	yqpc#类4#序14030
曲目	yqqm#类4#序14156
曲者	yqqo#类4#序14161
輙	yqry#类3#序23543
酷評	yqse#类4#序13506
曲譜	yqsh#类4#序14118
曲折	yqut#类4#序14135
酷寒	yqwq#类4#序13607
小田原提灯	yqxc#类4#序14721
曲乗	yqxl#类4#序14129
曲解	yqxt#类4#序14137
小田原	yqxu#类4#序14719
小田原評定	yqxw#类4#序14720
爪先上	yqyf#类4#序12816
軽	yr#类3#序23541
軽症	yraf#类4#序14118
軽装	yrag#类4#序14119
罪状	yram#类4#序14064
ユーロビジョン	yrbn#类5#序29729
繋留	yrbq#类4#序13696
ヨルバ語	yrbs#类5#序29730
ユーロビート	yrbt#类5#序29731
軽妙	yrby#类4#序14117
罪業	yrcg#类4#序14081
軽業	yrcg#类4#序14125
ヤリチン	yrcn#类5#序29732
当り屋	yrcy#类5#序23544
軽口	yrdk#类4#序14129
ヨルダン	yrdn#类5#序29733
ヨルダン・ハシミテ王国	yrdr#类5#序29734
罪	yrf#类3#序23526
より一層	yrfc#类5#序23545
罪悪	yrfc#类4#序14097
罪過	yrfd#类4#序14085
軽視	yrfe#类4#序14123
ヨルガオ	yrgo#类5#序29735
上り坂	yrgx#类5#序23546
連れ子	yrhi#类5#序23547
軽快	yrhn#类4#序14126
ヤラハタ	yrht#类5#序29736
繋船	yrio#类4#序13695
ヨロイモグラゴキブリ	yrir#类5#序29737
ヨロイグサ	yris#类5#序29738
繋	yris#类3#序23419
撃退	yriu#类4#序13694
軽侮	yrje#类4#序14113
軽傷	yrje#类4#序14112
軽便	yrjf#类4#序14115
罪人	yrjr#类4#序14055
軽信	yrjs#类4#序14111
罪作	yrjw#类4#序14058
軽油	yrkd#类4#序14132
ユリカモメ	yrkm#类5#序29739
撃滅	yrkn#类4#序13701
罪滅	yrkn#类4#序14095
軽減	yrkn#类4#序14133
ゆるキャラ	yrkr#类5#序29740
鹹水	yrks#类4#序13891
罪深	yrkw#类4#序14091
罪名	yrld#类4#序14076
軽重	yrld#类4#序14121
やり方	yrlf#类5#序23548
ヨーロッパウナギ	yrlg#类5#序29741
ヨーロッパタナゴ	yrlg#类5#序29741
連れっ子	yrlh#类5#序23549
ヨーロッパイガイ	yrli#类5#序29742
ヨーロッパ連合	yrlj#类5#序29743
ヨーロッパオオヤマネコ	yrlk#类5#序29744
軽薄	yrlk#类4#序14139
ヨーロッパオオカミ	yrlm#类5#序29745
ヨーロッパ鵟	yrlm#类5#序29745
ヨーロッパブナ	yrln#类5#序29746
ゆる募	yrlo#类5#序23550
ヨーロッパ貽貝	yrlo#类5#序29747
ヨーロッパ	yrlp#类5#序29748
ヨーロッパコマドリ	yrlr#类5#序29749
ヨーロッパノスリ	yrlr#类5#序29749
軽蔑	yrly#类4#序14138
ヨルムンガンド	yrmd#类5#序29751
ヤリモク	yrmk#类5#序29752
撃砕	yrmk#类4#序13704
ヤリマン	yrmn#类5#序29753
撃破	yrmr#类4#序13705
ヤラミソ	yrms#类5#序29754
軽石	yrms#类4#序14136
至る所	yrmt#类5#序23551
劣等感	yrnf#类4#序14189
軽量	yrof#类4#序14130
鹹	yrpd#类3#序24843
鹸	yrpj#类3#序24842
ユーロピウム	yrpm#类5#序29755
鹵	yrpm#类3#序24844
繋累	yrqi#类4#序13699
やり目	yrqm#类5#序23552
軽食	yrqs#类4#序14110
輟	yrrr#类3#序23539
酘	yrs#类3#序21168
ユーラシア	yrsa#类5#序29756
連れション	yrsn#类5#序29757
やり甲斐	yrsr#类5#序23553
ヤロスラヴリ	yrsr#类5#序29758
軽鴨	yrsx#类4#序14128
軽震	yrtf#类4#序14135
撃墜	yrth#类4#序13706
やり投	yrur#类5#序23554
小切手	yrus#类4#序15549
撃	yrus#类3#序23418
ユリウス暦	yrux#类5#序29759
やる気	yrvb#类5#序23555
軽微	yrwv#类4#序14120
繋争	yrxb#类4#序13697
罪科	yrxj#类4#序14067
軽度	yrxl#类4#序14109
曲り角	yrxt#类5#序23556
ヨレヨレ	yryr#类5#序29760
ヨロヨロ	yryr#类5#序29760
軽少	yryt#类4#序14131
軽率	yrzi#类4#序14108
四	ys#类3#序23464
上出来	ysah#类4#序14182
四姓	ysbl#类4#序13817
四面	ysbm#类4#序13842
四書	ysbo#类4#序13819
受話器	ysdd#类4#序15409
四民	ysdm#类4#序13825
よそ見	ysej#类5#序23557
やしぇー	ysel#类5#序29761
よそ事	ysfd#类5#序23558
四万	ysfp#类4#序13841
四百	ysfu#类4#序13844
輅	ysg#类3#序23376
酪	ysg#类3#序21150
四声	ysgc#类4#序13835
ヤシガニ	ysgn#类5#序29762
上調子	yshi#类4#序13683
ユースホステル	yshr#类5#序29763
やさいジュース	ysis#类5#序29764
輸出入	ysju#类4#序14143
罸	yskc#类3#序23336
四海	yske#类4#序13833
ユースケース	ysks#类5#序29765
四苦	yslc#类4#序13847
四方	yslf#类4#序13814
ゆしーん	ysln#类5#序29766
四千	yslq#类4#序13820
四散	yslv#类4#序13846
ヤシュマク	ysmk#类5#序29767
ユーサネイジア	ysna#类5#序29768
四球	ysnf#类4#序13834
四十	ysns#类4#序13837
四時	ysog#类4#序13832
四則	ysop#类4#序13826
罰則	ysop#类4#序13397
罰	ysp#类3#序23335
輸出超過	yspf#类4#序14149
四辺	yspu#类4#序13818
ヤソ教	ysqh#类5#序29769
よそ目	ysqm#类5#序23559
よそ者	ysqo#类5#序23560
ユスリカ	ysrk#类5#序29770
ゆしーるん	ysrn#类5#序29771
四国	ysrn#类4#序13829
四囲	ysrq#类4#序13830
ユースティティア	ysta#类5#序29772
やせ我慢	ysth#类5#序23561
四阿	ystz#类4#序13845
四肢	ysvc#类4#序13839
四股	ysvr#类4#序13838
四月	ysvy#类4#序13840
四季	ysxh#类4#序13821
四角	ysxt#类4#序13823
ヨシ原	ysxu#类5#序29773
詈	ysy#类3#序23337
罰当	ysyb#类4#序13399
酪農	ysyf#类4#序13625
ユサユサ	ysys#类5#序29774
罰金	yszj#类4#序13394
少	yt#类3#序24361
爲	ytac#类3#序25739
少壮	ytag#类4#序14087
少憩	ytao#类4#序14094
斬殺	ytbe#类4#序13576
轌	ytbj#类3#序23486
少女	ytbn#类4#序14082
ヨタバイト	ytbt#类5#序29775
釀	ytdf#类3#序21139
槧	ytem#类3#序23390
省エネ	yten#类5#序29776
少年	ytev#类4#序14101
劣悪	ytfc#类4#序14171
連用形	ytfl#类4#序14048
塹	ytg#类3#序23397
塹壕	ytgg#类4#序13582
劣勢	ytgh#类4#序14173
ヤタガン	ytgn#类5#序29777
慙愧	ytha#类4#序13578
軼	ythf#类3#序23389
醸	ythf#类3#序21146
劣性	ythl#类4#序14120
慙	ythx#类3#序23392
斬新	ytie#类4#序13575
羈絆	ytih#类4#序14155
ユーティリティ	ytii#类5#序29778
斬	ytj#类3#序23398
四つ仮名	ytjl#类5#序23562
連用修飾語	ytjs#类4#序14041
四つ葉のクローバー	ytlb#类5#序29779
羈旅	ytle#类4#序14153
轜	ytle#类3#序23512
四つ葉	ytll#类5#序23563
轎	ytmd#类3#序23381
ヤツメウナギ	ytmg#类5#序29780
羇	ytmz#类3#序23548
醸成	ytna#类4#序13678
ユータナジー	ytnj#类5#序29781
羈	ytnm#类3#序23549
暫	yto#类3#序23394
少量	ytof#类4#序14145
暫時	ytog#类4#序13580
劣敗	ytoh#类4#序14125
ユートピア	ytpa#类5#序29782
少数	ytpb#类4#序14118
省	ytq#类3#序24353
醸造	ytqd#类4#序13566
少食	ytqs#类4#序14076
省略	ytqs#类4#序14132
ゆとり教育	ytrb#类5#序23564
当たり屋	ytrc#类5#序23565
当たり年	ytre#类5#序23566
劣等	ytrg#类4#序14092
当たり前	ytrh#类5#序23567
ゆとり世代	ytrj#类5#序23568
軽トラック	ytrk#类5#序29783
劣	yts#类3#序24347
省力	ytsl#类4#序14131
小テスト	ytst#类5#序29784
毟	ytvm#类3#序24335
当て字	ytwh#类5#序23569
省察	ytwh#类4#序14112
少額	ytws#类4#序14113
暫定	ytwt#类4#序13577
省庁	ytxa#类4#序14064
四つ角	ytxt#类5#序23570
斬罪	ytyr#类4#序13579
鏨	ytzj#类3#序23391
連	yu#类3#序23406
連関	yuah#类4#序13624
ヨウ素	yuai#类5#序29785
連邦	yuat#类4#序13659
連弾	yubk#类4#序13612
逎	yuc#类3#序21160
軽工業	yucg#类4#序14176
連チャン	yucn#类5#序29786
連中	yudg#类4#序13645
連ドラ	yudr#类5#序29787
連呼	yudt#类4#序13644
連想	yueq#类4#序13629
連声	yugc#类4#序13654
連翹	yugg#类4#序13655
連句	yugj#类4#序13636
ユウガオ	yugo#类5#序29788
よう子	yuhi#类5#序23571
連子	yuhi#类4#序13662
連発	yuhm#类4#序13622
雀	yui#类3#序24263
連結	yuig#类4#序13613
連続	yuig#类4#序13614
連立	yuil#类4#序13625
連絡	yuis#类4#序13610
連綿	yuiu#类4#序13611
連合	yujd#类4#序13621
連休	yuje#类4#序13618
連坐	yujj#类4#序13615
連係	yujt#类4#序13616
連作	yujw#类4#序13617
ゆうこうグラフ	yukf#类5#序29789
連戦	yukq#类4#序13649
四段活用	yukt#类4#序13443
連濁	yuky#类4#序13648
連動	yuld#类4#序13626
連名	yuld#类4#序13635
連破	yumr#类4#序13660
ような	yuna#类2#序15650
ヤウンデ	yund#类5#序29790
連理	yund#类4#序13650
ように	yuni#类2#序15649
連載	yunp#类4#序13656
連敗	yuoh#类4#序13639
連日	yuor#类4#序13646
連盟	yuov#类4#序13647
連行	yupx#类4#序13627
小手先	yuqp#类4#序14270
ユウレイグモ	yurm#类5#序29791
ユウロピウム	yurm#类5#序29791
小手調	yusm#类4#序14255
連記	yusv#类4#序13606
連語	yusw#类4#序13608
連隊	yuth#类4#序13661
連用	yuty#类4#序13658
連打	yuua#类4#序13633
連携	yuuu#类4#序13632
連勝	yuvh#类4#序13657
連峰	yuvh#类4#序13640
雀斑	yuvn#类4#序13957
連山	yuvs#类4#序13641
連覇	yuvt#类4#序13631
連座	yuxj#类4#序13603
乳白色	yuxm#类4#序15568
連署	yuyq#类4#序13643
連繋	yuyr#类4#序13642
連夜	yuzj#类4#序13604
連鎖	yuzy#类4#序13637
連歌	yuzz#类4#序13628
や	yv#类1#序15996
ヤ	yv#次#序16383
肖	yv#类3#序24683
やあ	yvaa#类1#序15993
ヤア	yvaa#次#序16380
ヤヴァい	yvai#类5#序29792
ユヴァスキュラ	yvar#类5#序29793
やば	yvba#类1#序15932
ヤバ	yvba#次#序16319
やびゅ	yvbc#类1#序15891
ヤビュ	yvbc#次#序16278
やべ	yvbe#类1#序15929
ヤベ	yvbe#次#序16316
やび	yvbi#类1#序15931
ヤビ	yvbi#次#序16318
やぼ	yvbo#类1#序15928
ヤボ	yvbo#次#序16315
やぶ	yvbu#类1#序15930
ヤブ	yvbu#次#序16317
やびゃ	yvbv#类1#序15892
ヤビャ	yvbv#次#序16279
やびょ	yvbx#类1#序15890
ヤビョ	yvbx#次#序16277
やちゅ	yvcc#类1#序15915
ヤチュ	yvcc#次#序16302
やち	yvci#类1#序15977
ヤチ	yvci#次#序16364
配属	yvct#类4#序13616
やちゃ	yvcv#类1#序15916
ヤチャ	yvcv#次#序16303
やちょ	yvcx#类1#序15914
ヤチョ	yvcx#次#序16301
やだ	yvda#类1#序15937
ヤダ	yvda#次#序16324
小気味	yvda#类4#序14279
やぢゅ	yvdc#类1#序15894
ヤヂュ	yvdc#次#序16281
やで	yvde#类1#序15934
ヤデ	yvde#次#序16321
やぢ	yvdi#类1#序15936
ヤヂ	yvdi#次#序16323
やど	yvdo#类1#序15933
ヤド	yvdo#次#序16320
やづ	yvdu#类1#序15935
ヤヅ	yvdu#次#序16322
やぢゃ	yvdv#类1#序15895
ヤヂャ	yvdv#次#序16282
やぢょ	yvdx#类1#序15893
ヤヂョ	yvdx#次#序16280
やえ	yvee#类1#序15990
ヤエ	yvee#次#序16377
配本	yvef#类4#序13583
削岩機	yvei#类4#序14651
ヤファ	yvfa#次#序16257
ヤフェ	yvfe#次#序16255
ヤフィ	yvfi#次#序16256
ヤフォ	yvfo#次#序16254
配下	yvfy#类4#序13663
やが	yvga#类1#序15947
ヤガ	yvga#次#序16334
やぎゅ	yvgc#类1#序15900
ヤギュ	yvgc#次#序16287
やげ	yvge#类1#序15944
ヤゲ	yvge#次#序16331
配達	yvgg#类4#序13666
やぎ	yvgi#类1#序15946
ヤギ	yvgi#次#序16333
やご	yvgo#类1#序15943
ヤゴ	yvgo#次#序16330
配列	yvgp#类4#序13659
やぐ	yvgu#类1#序15945
ヤグ	yvgu#次#序16332
やぎゃ	yvgv#类1#序15901
ヤギャ	yvgv#次#序16288
やぎょ	yvgx#类1#序15899
ヤギョ	yvgx#次#序16286
やは	yvha#类1#序15968
ヤハ	yvha#次#序16355
やひゅ	yvhc#类1#序15909
ヤヒュ	yvhc#次#序16296
やへ	yvhe#类1#序15965
ヤヘ	yvhe#次#序16352
やひ	yvhi#类1#序15967
ヤヒ	yvhi#次#序16354
配送	yvhm#类4#序13550
やほ	yvho#类1#序15964
ヤホ	yvho#次#序16351
配分	yvhp#类4#序13524
やふ	yvhu#类1#序15966
ヤフ	yvhu#次#序16353
